"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"RSA0016B-IPC_A";1;"TPS54394RSAR";;;
2;"R12,R11,R4,R3";"LED_SMLD12_ROM";4;"SML-E12DWT86";;;
3;"J3";"CONN8_796692-4_TEC";1;"796692-4";;;
4;"R10";"RC1206N_YAG-M";1;"162 Ohms";;;
5;"L1";"IND_VLS6045EX-3R3N";1;"3.3µH";;;
6;"R6";"RES_TNPW1206_VIS-M";1;"124kOhms";;;
7;"R9";"RC1206N_YAG-M";1;"73.2 Ohms";;;
8;"C15,C12,C6,C10,C14,C13,C5,C11";"CAP_3216_TDK-M";8;"22µF";;;
9;"C4,C3,C9,C8";"CAP_1005_TDK-M";4;"0.1µF";;;
10;"R8,R7";"RES_TNPW1206_VIS-M";2;"22.1kOhms";;;
11;"L2";"IND_VLS6045EX-4R7M_TDK-M";1;"4.7µH";;;
12;"J1";"BarrelJack_Wuerth_6941xx301002";1;"Barrel_Jack_MountingPin";;;
13;"J2";"CONN_1017491";1;"1017503";;;
14;"R5";"RESC1608X55N";1;"72.3kOhms";;;
15;"C7";"CAP_2012_TDK-M";1;"1µF";;;
16;"U1";"TO220-3_ONS";1;"FQP47P06";;;
17;"C1,C2";"CAP_3216_TDK-M";2;"47µF";;;
18;"R1,R2";"RC1206N_YAG-M";2;"560 Ohms";;;
